TradeID,EntryTime,OptionType,Delta,ShortStrike,LongStrike,Width,Premium,ProfitTarget,ProfitDateTime,ProfitPrice,StopLossDateTime,StopLossTarget,StopLossPrice,IsWin,Outcome,ProfitLoss,ProfitLossAfterSlippage,CommissionFees,Slippage,LossMultiple,TradesToday
5015781,1/3/2023 9:33:00 AM,P,0.00,3810.00,3765.00,45.00,2.45,P100,,,1/3/2023 9:58:00 AM,1x,4.90,False,Stop Loss,-2.45,-2.65,3.30,0.20,1.1,26
5016269,1/3/2023 9:45:00 AM,P,0.00,3830.00,3785.00,45.00,2.50,P100,,,1/3/2023 9:47:00 AM,1x,5.00,False,Stop Loss,-2.50,-2.70,3.30,0.20,1.1,0
5027893,1/3/2023 10:00:00 AM,C,0.00,3870.00,3915.00,45.00,2.60,P100,,,,1x,,True,Expiration,2.60,2.55,1.65,0.05,0,26
5028345,1/3/2023 10:15:00 AM,C,0.00,3860.00,3905.00,45.00,2.70,P100,,,,1x,,True,Expiration,2.70,2.65,1.65,0.05,0,0
5028813,1/3/2023 10:30:00 AM,C,0.00,3860.00,3905.00,45.00,2.55,P100,,,,1x,,True,Expiration,2.55,2.50,1.65,0.05,0,0
5018401,1/3/2023 10:45:00 AM,P,0.00,3790.00,3745.00,45.00,2.50,P100,,,1/3/2023 11:14:00 AM,1x,5.00,False,Stop Loss,-2.50,-2.70,3.30,0.20,1.1,0
5018865,1/3/2023 11:00:00 AM,P,0.00,3805.00,3760.00,45.00,2.65,P100,,,1/3/2023 11:09:00 AM,1x,5.30,False,Stop Loss,-2.65,-2.85,3.30,0.20,1.1,0
5030537,1/3/2023 11:15:00 AM,C,0.00,3845.00,3895.00,50.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,0
5031041,1/3/2023 11:30:00 AM,C,0.00,3840.00,3885.00,45.00,2.90,P100,,,,1x,,True,Expiration,2.90,2.85,1.65,0.05,0,0
5031417,1/3/2023 11:45:00 AM,C,0.00,3830.00,3875.00,45.00,2.90,P100,,,,1x,,True,Expiration,2.90,2.85,1.65,0.05,0,0
5031801,1/3/2023 12:00:00 PM,C,0.00,3830.00,3875.00,45.00,2.40,P100,,,,1x,,True,Expiration,2.40,2.35,1.65,0.05,0,0
5020829,1/3/2023 12:15:00 PM,P,0.00,3790.00,3745.00,45.00,2.75,P100,,,1/3/2023 12:24:00 PM,1x,5.50,False,Stop Loss,-2.75,-2.95,3.30,0.20,1.1,0
5032821,1/3/2023 12:30:00 PM,C,0.00,3825.00,3870.00,45.00,2.90,P100,,,1/3/2023 2:46:00 PM,1x,5.80,False,Stop Loss,-2.90,-3.10,3.30,0.20,1.1,0
5033305,1/3/2023 12:45:00 PM,C,0.00,3825.00,3875.00,50.00,2.30,P100,,,1/3/2023 2:45:00 PM,1x,4.60,False,Stop Loss,-2.30,-2.50,3.30,0.20,1.1,0
5033729,1/3/2023 1:00:00 PM,C,0.00,3820.00,3865.00,45.00,2.85,P100,,,1/3/2023 2:00:00 PM,1x,5.70,False,Stop Loss,-2.85,-3.05,3.30,0.20,1.1,0
5022093,1/3/2023 1:15:00 PM,P,0.00,3780.00,3735.00,45.00,2.30,P100,,,,1x,,True,Expiration,2.30,2.25,1.65,0.05,0,0
5022381,1/3/2023 1:30:00 PM,P,0.00,3790.00,3745.00,45.00,2.30,P100,,,1/3/2023 2:33:00 PM,1x,4.60,False,Stop Loss,-2.30,-2.50,3.30,0.20,1.1,0
5022862,1/3/2023 1:45:00 PM,P,0.00,3795.00,3750.00,45.00,3.00,P100,,,1/3/2023 2:32:00 PM,1x,6.00,False,Stop Loss,-3.00,-3.20,3.30,0.20,1.1,0
5023169,1/3/2023 2:00:00 PM,P,0.00,3800.00,3755.00,45.00,2.70,P100,,,1/3/2023 2:12:00 PM,1x,5.40,False,Stop Loss,-2.70,-2.90,3.30,0.20,1.1,0
5035621,1/3/2023 2:15:00 PM,C,0.00,3820.00,3865.00,45.00,2.95,P100,,,1/3/2023 2:45:00 PM,1x,5.90,False,Stop Loss,-2.95,-3.15,3.30,0.20,1.1,0
5035882,1/3/2023 2:30:00 PM,C,0.00,3815.00,3860.00,45.00,2.90,P100,,,1/3/2023 2:45:00 PM,1x,5.80,False,Stop Loss,-2.90,-3.10,3.30,0.20,1.1,0
5024453,1/3/2023 2:45:00 PM,P,0.00,3800.00,3755.00,45.00,3.25,P100,,,,1x,,True,Expiration,3.25,3.20,1.65,0.05,0,0
5024997,1/3/2023 3:00:00 PM,P,0.00,3805.00,3760.00,45.00,2.65,P100,,,,1x,,True,Expiration,2.65,2.60,1.65,0.05,0,0
5025441,1/3/2023 3:15:00 PM,P,0.00,3815.00,3770.00,45.00,3.15,P100,,,,1x,,True,Expiration,3.15,3.10,1.65,0.05,0,0
5037209,1/3/2023 3:30:00 PM,C,0.00,3820.00,3865.00,45.00,3.90,P100,,,,1x,,False,Expiration (ITM),-1.61,-1.81,3.30,0.20,0.5,0
5026097,1/3/2023 3:45:00 PM,P,0.00,3820.00,3775.00,45.00,2.80,P100,,,,1x,,True,Expiration,2.80,2.75,1.65,0.05,0,0
5048949,1/4/2023 9:33:00 AM,P,0.00,3780.00,3735.00,45.00,2.50,P100,,,1/4/2023 10:11:00 AM,1x,5.00,False,Stop Loss,-2.50,-2.70,3.30,0.20,1.1,26
5049585,1/4/2023 9:45:00 AM,P,0.00,3780.00,3730.00,50.00,2.30,P100,,,1/4/2023 10:11:00 AM,1x,4.60,False,Stop Loss,-2.30,-2.50,3.30,0.20,1.1,0
5049917,1/4/2023 10:00:00 AM,P,0.00,3795.00,3750.00,45.00,2.30,P100,,,1/4/2023 10:00:00 AM,1x,4.60,False,Stop Loss,-2.30,-2.50,3.30,0.20,1.1,0
5039705,1/4/2023 10:15:00 AM,C,0.00,3865.00,3910.00,45.00,2.85,P100,,,1/4/2023 10:59:00 AM,1x,5.70,False,Stop Loss,-2.85,-3.05,3.30,0.20,1.1,26
5039981,1/4/2023 10:30:00 AM,C,0.00,3870.00,3915.00,45.00,2.75,P100,,,1/4/2023 11:15:00 AM,1x,5.50,False,Stop Loss,-2.75,-2.95,3.30,0.20,1.1,0
