"Hour:Minute","Premium","MinPremium","Spread","Stop","Strategy","Plan","profittarget"
"09:39","4.8","2.0","45-50-55","1.75x","ema2040","P1","100"
"09:52","4.8","2.0","45-50-55","1.75x","ema2040","P1","100"
"10:08","4.8","2.0","45-50-55","1.75x","ema2040","P1","100"
"11:23","4.8","2.0","45-50-55","1.75x","ema2040","P1","100"
"12:23","4.8","2.0","45-50-55","1.75x","ema2040","P1","100"
"12:38","4.8","2.0","45-50-55","1.75x","ema2040","P1","100"
"12:53","4.8","2.0","45-50-55","1.75x","ema2040","P1","100"
"13:08","4.8","2.0","45-50-55","1.75x","ema2040","P1","100"
"14:53","4.8","2.0","45-50-55","1.75x","ema2040","P1","100"
"15:08","4.8","2.0","45-50-55","1.75x","ema2040","P1","100"
"15:38","4.8","2.0","45-50-55","1.75x","ema2040","P1","100"
